"","Block","GenSp","Freq"
"1","1","Acer saccharinum",17
"2","2","Acer saccharinum",19
"3","3","Acer saccharinum",10
"4","4","Acer saccharinum",22
"5","5","Acer saccharinum",90
"6","6","Acer saccharinum",82
"7","7","Acer saccharinum",8
"8","8","Acer saccharinum",23
"9","1","Cercis canadensis",0
"10","2","Cercis canadensis",0
"11","3","Cercis canadensis",0
"12","4","Cercis canadensis",1
"13","5","Cercis canadensis",0
"14","6","Cercis canadensis",1
"15","7","Cercis canadensis",0
"16","8","Cercis canadensis",0
"17","1","Cornus drummondii",0
"18","2","Cornus drummondii",0
"19","3","Cornus drummondii",4
"20","4","Cornus drummondii",3
"21","5","Cornus drummondii",21
"22","6","Cornus drummondii",38
"23","7","Cornus drummondii",3
"24","8","Cornus drummondii",4
"25","1","Cornus stolonifera",0
"26","2","Cornus stolonifera",0
"27","3","Cornus stolonifera",0
"28","4","Cornus stolonifera",1
"29","5","Cornus stolonifera",0
"30","6","Cornus stolonifera",0
"31","7","Cornus stolonifera",0
"32","8","Cornus stolonifera",1
"33","1","Crataegus unknown",0
"34","2","Crataegus unknown",0
"35","3","Crataegus unknown",0
"36","4","Crataegus unknown",3
"37","5","Crataegus unknown",0
"38","6","Crataegus unknown",0
"39","7","Crataegus unknown",0
"40","8","Crataegus unknown",0
"41","1","Fraxinus pennsylvanica",2
"42","2","Fraxinus pennsylvanica",2
"43","3","Fraxinus pennsylvanica",1
"44","4","Fraxinus pennsylvanica",3
"45","5","Fraxinus pennsylvanica",4
"46","6","Fraxinus pennsylvanica",3
"47","7","Fraxinus pennsylvanica",3
"48","8","Fraxinus pennsylvanica",1
"49","1","Lonicera unknown",0
"50","2","Lonicera unknown",0
"51","3","Lonicera unknown",0
"52","4","Lonicera unknown",1
"53","5","Lonicera unknown",0
"54","6","Lonicera unknown",0
"55","7","Lonicera unknown",0
"56","8","Lonicera unknown",0
"57","1","Morus alba",0
"58","2","Morus alba",0
"59","3","Morus alba",0
"60","4","Morus alba",1
"61","5","Morus alba",8
"62","6","Morus alba",0
"63","7","Morus alba",4
"64","8","Morus alba",10
"65","1","Platanus occidentalis",0
"66","2","Platanus occidentalis",1
"67","3","Platanus occidentalis",3
"68","4","Platanus occidentalis",0
"69","5","Platanus occidentalis",5
"70","6","Platanus occidentalis",5
"71","7","Platanus occidentalis",0
"72","8","Platanus occidentalis",5
"73","1","Prunus NA",0
"74","2","Prunus NA",0
"75","3","Prunus NA",0
"76","4","Prunus NA",0
"77","5","Prunus NA",0
"78","6","Prunus NA",1
"79","7","Prunus NA",0
"80","8","Prunus NA",0
"81","1","Prunus serotina",0
"82","2","Prunus serotina",12
"83","3","Prunus serotina",0
"84","4","Prunus serotina",15
"85","5","Prunus serotina",8
"86","6","Prunus serotina",0
"87","7","Prunus serotina",0
"88","8","Prunus serotina",1
"89","1","Pyrus calleryana",0
"90","2","Pyrus calleryana",0
"91","3","Pyrus calleryana",3
"92","4","Pyrus calleryana",1
"93","5","Pyrus calleryana",9
"94","6","Pyrus calleryana",17
"95","7","Pyrus calleryana",7
"96","8","Pyrus calleryana",11
"97","1","Rhamnus unknown",0
"98","2","Rhamnus unknown",0
"99","3","Rhamnus unknown",0
"100","4","Rhamnus unknown",0
"101","5","Rhamnus unknown",0
"102","6","Rhamnus unknown",0
"103","7","Rhamnus unknown",1
"104","8","Rhamnus unknown",0
"105","1","Rubus unknown",0
"106","2","Rubus unknown",0
"107","3","Rubus unknown",0
"108","4","Rubus unknown",1
"109","5","Rubus unknown",1
"110","6","Rubus unknown",0
"111","7","Rubus unknown",1
"112","8","Rubus unknown",2
"113","1","Ulmus americana",0
"114","2","Ulmus americana",0
"115","3","Ulmus americana",0
"116","4","Ulmus americana",0
"117","5","Ulmus americana",1
"118","6","Ulmus americana",0
"119","7","Ulmus americana",0
"120","8","Ulmus americana",0
"121","1","Ulmus pumila",1
"122","2","Ulmus pumila",0
"123","3","Ulmus pumila",0
"124","4","Ulmus pumila",0
"125","5","Ulmus pumila",5
"126","6","Ulmus pumila",3
"127","7","Ulmus pumila",18
"128","8","Ulmus pumila",8
"129","1","unknown unknown",1
"130","2","unknown unknown",3
"131","3","unknown unknown",0
"132","4","unknown unknown",0
"133","5","unknown unknown",7
"134","6","unknown unknown",5
"135","7","unknown unknown",0
"136","8","unknown unknown",2
"137","1","Vitus riparia",5
"138","2","Vitus riparia",5
"139","3","Vitus riparia",7
"140","4","Vitus riparia",3
"141","5","Vitus riparia",6
"142","6","Vitus riparia",5
"143","7","Vitus riparia",40
"144","8","Vitus riparia",28
